jeremić,a	jer,emi,ća
mogul,u	mog,ulu
medij,a	med,ija
dokaz,i	d,ok,azi
njegov,im	nj,eg,ov,im
krivični,m	k,riv,ič,nim
zatvor,a	zat,vora
porez,a	p,ore,za
medij,e	med,ije
novinar,i	nov,in,ari
drugi,h	d,rug,ih
sud,u	s,udu
mart,a	m,arta
položaj,a	p,olo,ž,aja
saučesnik,a	s,au,č,es,nika
kreditor,ima	k,red,itor,ima
medij,ima	med,ij,ima
metod,e	met,ode
zakon,a	zak,ona
institut,a	in,stit,uta
zaposlen,i	z,apos,len,i
naziv,om	naz,iv,om
njen,u	nj,enu
potpun,u	pot,p,unu
premijer,a	pre,m,ij,era
aktivnost,i	aktiv,nosti
kriminal,a	k,riminal,a
zemlja,ma	zem,lj,ama
faktor,a	f,akt,ora
sposobnost,i	s,pos,ob,nosti
svedok,a	s,ved,oka
milion,a	mil,iona
račun,a	rač,una
sadržaj,em	s,adr,ž,ajem
svoj,ih	s,voj,ih
reč,ima	re,č,ima
internešnal,a	inter,ne,š,n,ala
međunarodni,m	me,đ,unarod,nim
sud,ovima	sud,ovima
argument,i	argument,i
vezan,e	vez,ane
govor,a	gov,ora
živ,a	ž,iva
zdrav,a	zd,rava
svoj,oj	s,voj,oj
novčan,u	nov,č,anu
sopstven,e	s,op,st,vene
domaći,m	d,oma,ć,im
član,a	č,lana
tročlan,og	tro,č,lan,og
potpredsednik,a	pot,pred,sed,nika
političar,a	pol,iti,č,ara
položaj,u	p,olo,ž,aju
pun,om	pun,om
kapacitet,u	kap,ac,itet,u
obaveza,ma	ob,avez,ama
sdp,-a	s,dp,-a
njegov,og	nj,eg,ov,og
predsednik,om	pred,sed,nik,om
inostran,ih	in,ost,ran,ih
vuk,a	v,uka
predsednik,a	pred,sed,nika
beograd,u	be,ograd,u
komšić,a	kom,ši,ća
član,ova	č,lan,ova
njegov,oj	nj,eg,ov,oj
jeremić,u	jer,emi,ću
kandidat,a	k,andid,ata
političar,i	pol,iti,č,ari
stav,a	stava
novinar,ima	nov,inar,ima
jeremić,em	jer,emi,ć,em
poslednji,m	pos,led,nj,im
opšti,m	op,št,im
izbor,ima	iz,bor,ima
rezultat,i	rez,ult,ati
izbor,a	iz,bora
član,ovi	č,lan,ovi
lagumdžijin,a	l,ag,um,d,ž,ij,ina
potpun,a	pot,p,una
stranački,h	st,ran,ač,kih
krug,ova	k,rug,ova
politički,h	pol,iti,čkih
neodgovornost,i	ne,od,gov,orn,osti
fakultet,a	f,akult,eta
istaknut,i	ist,ak,n,uti
princip,e	pr,inci,pe
njen,o	n,jeno
čin,a	čina
spoljni,h	sp,olj,nih
pogled,u	p,ogle,du
drugi,m	d,rug,im
član,ovima	č,lan,ovima
mesec,i	mese,ci
oktobarski,h	ok,to,bars,kih
birač,e	b,ira,če
obzir,om	ob,zi,rom
njegov,e	nj,eg,ove
stav,ove	stav,ove
korak,a	kor,aka
lider,a	lider,a
nov,og	nov,og
put,em	put,em
izazov,a	iz,az,ova
državni,h	dr,ž,av,nih
razvoj,a	raz,voja
parlament,u	par,l,ament,u
vrh,u	vr,hu
program,a	program,a
zastoj,a	zas,to,ja
mnogi,m	m,nog,im
debata,ma	de,bat,ama
nov,im	nov,im
problem,ima	problem,ima
cilj,evi	cil,je,vi
njegov,a	nj,eg,ova
parlament,om	par,l,ament,om
reforma,ma	reform,ama
nov,i	n,ovi
put,a	put,a
glas,ova	glas,ova
glas,a	gl,asa
on,o	ono
vrednost,i	v,red,nosti
određen,e	od,re,đ,ene
napor,e	nap,ore
napor,a	nap,ora
svoj,e	s,voje
moldavski,h	m,old,av,skih
svoj,im	s,voj,im
upravnik,a	up,rav,nika
kalarasi,ja	k,alar,as,ija
rad,a	rada
velik,i	vel,iki
život,u	ž,ivot,u
uslov,e	us,love
balkan,a	b,alk,ana
intervju,u	inter,v,ju,u
region,u	region,u
nezavisnost,i	nez,avis,nosti
rizik,e	riz,ike
svet,u	sv,etu
čin,om	čin,om
period,om	period,om
stvar,i	stv,ari
međunarodni,h	me,đ,unarod,nih
mek,oj	me,koj
nestabilnost,i	nest,abil,nosti
sam,om	sam,om
nov,e	n,ove
njen,e	nj,ene
odnos,e	od,n,ose
on,a	ona
naš,ih	na,š,ih
interes,a	inter,esa
beograd,om	be,ograd,om
sused,a	s,used,a
samit,u	sam,itu
bukurešt,u	b,uk,ure,štu
sin,a	s,ina
mirovnjak,e	mi,rov,nj,ake
svet,a	sv,eta
region,a	region,a
vid,u	vid,u
stabilnost,i	st,abil,nosti
nov,ih	nov,ih
ime,na	im,ena
princip,u	pr,incip,u
naš,u	na,šu
zajednički,m	z,aj,ed,nič,kim
interes,om	inter,es,om
iskren,a	isk,rena
odlučnost,i	od,lu,čnosti
cilj,a	cil,ja
duh,u	du,hu
koji,ma	koj,ima
odustajanje,m	od,ust,ajan,jem
naš,eg	na,š,eg
identitet,a	ident,iteta
irak,u	i,ra,ku
poduhvat,a	pod,uh,v,ata
vojnik,a	voj,nika
vojni,m	voj,nim
misija,ma	mis,ijama
avganistan,u	av,gan,istan,u
liban,u	lib,anu
mirovni,m	mi,rov,nim
operacija,ma	oper,acij,ama
aranžman,a	aran,ž,mana
potpunost,i	pot,pun,osti
odgovornost,i	od,gov,orn,osti
štab,u	š,tab,u
harmonizovan,e	harm,on,iz,ov,ane
period,u	period,u
put,u	put,u
tempo,m	temp,om
preduslov,e	pred,us,love
pregovor,a	pre,gov,ora
režim,a	re,ž,ima
ostvarljiv,i	ost,var,lj,ivi
sopstven,ih	s,op,st,ven,ih
slabost,i	sl,ab,osti
sledeći,h	s,lede,ć,ih
pregovor,ima	pre,gov,or,ima
kraj,a	k,ra,ja
sporazum,a	spor,az,uma
dijalog,a	d,ijal,oga
slučaj,u	sl,uč,aju
vaš,e	va,še
značaj,a	z,nač,aja
region,om	region,om
nov,a	nova
sukob,ima	s,uk,ob,ima
posvećen,i	pos,ve,ć,eni
isti,m	ist,im
demokratski,m	dem,ok,rats,kim
vrednost,ima	v,red,nost,ima
amandman,a	am,and,mana
cilj,em	cil,jem
standard,ima	standard,ima
maj,a	ma,ja
amandman,e	am,and,mane
prevrat,a	prev,rata
okvir,u	ok,v,iru
