mogul,u	mogu,lu
medij,a	medija
dokaz,i	dokazi
njegov,im	njegovim
krivični,m	krivičnim
zatvor,a	zatvora
porez,a	poreza
medij,e	medije
novinar,i	novinari
drugi,h	drugih
sud,u	sudu
mart,a	marta
položaj,a	položaja
saučesnik,a	sauče,snika
kreditor,ima	kredi,torima
medij,ima	medijima
metod,e	metode
zakon,a	zakona
institut,a	instituta
zaposlen,i	zaposleni
naziv,om	nazivom
njen,u	njenu
potpun,u	potpunu
premijer,a	premijera
aktivnost,i	aktivnosti
kriminal,a	kriminala
zemlja,ma	zemljama
faktor,a	faktora
sposobnost,i	sposobnosti
svedok,a	svedoka
milion,a	miliona
račun,a	računa
sadržaj,em	sadržajem
svoj,ih	svojih
reč,ima	rečima
Internešnal,a	Inter,ne,šna,la
međunarodni,m	međunarodnim
sud,ovima	sudovima
argument,i	argumenti
vezan,e	vezane
govor,a	govora
živ,a	živa
zdrav,a	zdrava
svoj,oj	svojoj
novčan,u	novčanu
sopstven,e	sopstvene
domaći,m	domaćim
član,a	člana
tročlan,og	tro,čla,nog
potpredsednik,a	potpredsed,nika
političar,a	političara
položaj,u	položaju
pun,om	punom
kapacitet,u	kapacitetu
obaveza,ma	obavezama
SDP,-a	SDP,-,a
njegov,og	njegovog
predsednik,om	predsednikom
inostran,ih	inostranih
Vuk,a	Vuka
Jeremić,a	Jere,mića
predsednik,a	predsednika
Beograd,u	Beogradu
Komšić,a	Kom,šića
član,ova	članova
njegov,oj	njegovoj
Jeremić,u	Jere,mi,ću
kandidat,a	kandidata
političar,i	političari
stav,a	stava
novinar,ima	novinarima
Jeremić,em	Jere,mi,ćem
poslednji,m	poslednjim
opšti,m	opštim
izbor,ima	izborima
rezultat,i	rezultati
izbor,a	izbora
član,ovi	članovi
Lagumdžijin,a	Lagu,m,dži,jina
potpun,a	potpuna
stranački,h	strana,čkih
krug,ova	krugova
politički,h	političkih
neodgovornost,i	neodgovor,nosti
fakultet,a	fakulteta
istaknut,i	istaknuti
princip,e	principe
njen,o	njeno
čin,a	čina
spoljni,h	spoljnih
pogled,u	pogledu
drugi,m	drugim
član,ovima	članovima
mesec,i	meseci
oktobarski,h	oktobar,skih
birač,e	bira,če
obzir,om	obzirom
njegov,e	njegove
stav,ove	stavove
korak,a	koraka
lider,a	lidera
nov,og	novog
put,em	putem
izazov,a	izazova
državni,h	državnih
razvoj,a	razvoja
parlament,u	parlamentu
vrh,u	vrhu
program,a	programa
zastoj,a	zastoja
mnogi,m	mnogim
debata,ma	deba,tama
nov,im	novim
problem,ima	problemima
cilj,evi	ciljevi
njegov,a	njegova
parlament,om	parla,mentom
reforma,ma	reformama
nov,i	novi
put,a	puta
glas,ova	glasova
glas,a	glasa
on,o	ono
vrednost,i	vrednosti
određen,e	određene
napor,e	napore
napor,a	napora
svoj,e	svoje
moldavski,h	mol,da,vskih
svoj,im	svojim
upravnik,a	upravnika
Kalarasi,ja	Kala,ra,sija
rad,a	rada
velik,i	veliki
život,u	životu
uslov,e	uslove
Balkan,a	Balkana
intervju,u	intervjuu
region,u	regionu
nezavisnost,i	nezavisnosti
rizik,e	rizike
svet,u	svetu
čin,om	činom
period,om	perio,dom
stvar,i	stvari
međunarodni,h	međunarodnih
mek,oj	me,koj
nestabilnost,i	nestabilnosti
sam,om	samom
nov,e	nove
njen,e	njene
odnos,e	odnose
on,a	ona
naš,ih	naših
interes,a	interesa
Beograd,om	Beo,gra,dom
sused,a	su,seda
samit,u	sami,tu
Bukurešt,u	Bu,kure,štu
sin,a	sina
mirovnjak,e	mi,rov,njake
svet,a	sveta
region,a	regiona
vid,u	vidu
stabilnost,i	stabilnosti
nov,ih	novih
ime,na	imena
princip,u	principu
naš,u	našu
zajednički,m	zajedničkim
interes,om	intere,som
iskren,a	iskrena
odlučnost,i	odlu,čnosti
cilj,a	cilja
duh,u	duhu
koji,ma	kojima
odustajanje,m	odusta,janjem
naš,eg	našeg
identitet,a	identiteta
Irak,u	Iraku
